"","ID","GC3s","Synteny","discordance_marni","n_genospecies","n_members"
"90","group10078",0.569957,29.412,0,1,59
"91","group10079",0.550821,31.3793,0,1,65
"92","group1008",0.715965,34.1917,1,5,201
"93","group10080",0.798669,22.6237,0,4,79
"94","group10081",0.762034,21.4715,1,4,80
"95","group10082",0.751709,22.0215,1,4,82
"96","group10083",0.805853,18.2575,5,5,87
"97","group10084",0.77986,20.9744,1,4,80
"98","group10085",0.808936,17.7637,3,5,87
"99","group10086",0.84118,21.0407,1,4,81
"100","group10087",0.820674,21.3135,1,4,81
"101","group10088",0.908817,20.8155,1,4,82
"102","group10089",0.820706,17.3273,5,5,87
"103","group1009",0.725602,34.3401,0,5,201
"104","group10090",0.731045,30.5429,0,1,15
"105","group10091",0.584476,27.7981,1,1,46
"106","group10092",0.773807,22.6084,0,3,67
"107","group10093",0.782227,17.4723,4,5,83
"108","group10094",0.574077,10.3731,0,4,39
"109","group10095",0.417346,16.9527,1,1,32
"110","group10096",0.730563,25.2624,0,2,64
"111","group10097",0.537247,28.5048,1,2,21
"112","group10098",0.518111,24.8175,1,2,28
"113","group10099",0.881094,12.1694,3,4,31
"114","group101",0.707264,25.2924,1,5,171
"115","group1010",0.742407,34.4473,1,5,201
"116","group10100",0.781724,34.3595,0,1,18
"117","group10101",0.556636,24.2266,1,1,91
"118","group10102",0.919963,25.3288,0,1,90
"119","group10103",0.79875,30.7198,0,3,32
"120","group10104",0.650326,35.0263,0,1,20
"121","group10105",0.678571,38.9733,0,1,25
"122","group10106",0.642857,35.4959,0,1,42
"123","group10107",0.471743,20.3464,0,1,58
"124","group10108",0.595825,20.4293,1,1,58
"125","group10109",0.6875,40,1,1,10
"126","group1011",0.732545,34.6064,1,5,201
"127","group10110",0.633596,22.8363,0,3,47
"128","group10111",0.750835,37.5499,0,4,75
"129","group10112",0.716149,37.7609,0,4,69
"130","group10113",0.754967,36.7816,0,4,75
"131","group10114",0.722632,33.8262,0,3,71
"132","group10115",0.733185,37.6269,1,1,35
"133","group10116",0.75337,30.678,1,1,41
"134","group10117",0.791667,8.83333,0,2,4
"135","group10118",0.63688,3.38182,0,2,11
"136","group10119",0.55303,1.66667,0,1,4
"137","group1012",0.668056,34.6657,0,5,201
"138","group10120",0.639529,3.63684,1,3,19
"139","group10121",0.637181,4.13072,1,2,17
"140","group10122",0.664259,3.69853,0,2,16
"141","group10123",0.52907,8,0,2,2
"142","group10124",0.629951,7,0,2,5
"143","group10125",0.683099,7.2,0,2,5
"144","group10126",0.755481,7.4,0,2,5
"145","group10127",0.666081,24.9563,1,3,64
"146","group10128",0.640012,24.811,1,3,64
"147","group10129",0.513952,35.9381,0,1,21
"148","group1013",0.699086,34.7015,1,5,201
"149","group10130",0.680851,38.2317,0,1,41
"150","group10131",0.788217,22.6051,1,1,78
"151","group10132",0.625,20.3778,1,1,10
"152","group10133",0.504849,8.97667,0,3,25
"153","group10134",0.702958,12,0,2,15
"154","group10135",0.773232,19.1111,1,1,10
"155","group10136",0.615385,19.9778,1,1,10
"156","group10137",0.641026,20.4444,1,1,10
"157","group10138",0.407407,20.9111,1,1,10
"158","group10139",0.66178,5.12644,2,4,30
"159","group1014",0.548713,34.6384,0,5,201
"160","group10140",0.863636,29.7746,0,1,36
"161","group10141",0.656149,34.3989,0,4,128
"162","group10142",0.728956,32.5366,0,1,66
"163","group10143",0.753521,38.7807,0,2,71
"164","group10144",0.743642,18.8333,0,2,16
"165","group10145",0.797297,37.0667,1,1,15
"166","group10146",0.567469,14.1339,1,4,61
"167","group10147",0.736842,36.902,1,1,18
"168","group10148",0.708333,35.4808,0,1,42
"169","group10149",0.520066,35.5721,0,2,37
"170","group1015",0.761048,34.5655,0,5,201
"171","group10150",0.711929,33.5971,0,3,81
"172","group10151",0.775184,32.9171,1,1,74
"173","group10152",0.795918,18.2667,0,1,6
"174","group10153",0.587803,18.8182,0,4,12
"175","group10154",0.743243,0,0,2,2
"176","group10155",0.735986,2.52934,1,1,58
"177","group10156",0.731579,0.4,0,1,5
"178","group10157",0.542024,16.4194,1,1,53
"179","group10158",0.653846,17.8603,0,1,58
"180","group10159",0.715896,14.5164,1,1,73
"181","group1016",0.731828,34.5226,1,5,201
"182","group10160",0.658072,7.37358,3,4,135
"183","group10161",0.545455,14.7574,0,1,72
"184","group10162",0.571429,14.7142,1,1,73
"185","group10163",0.608696,14.4581,1,1,73
"186","group10164",0.664213,18.1641,0,1,40
"187","group10165",0.64113,13.2066,0,1,48
"188","group10166",0.588235,28.6937,1,1,58
"189","group10167",0.537313,36.0157,1,1,51
"190","group10168",0.689142,30.3817,1,1,65
"191","group10169",0.558824,28.0105,0,3,89
"192","group1017",0.753772,34.4427,1,5,201
"193","group10170",0.79048,26.3199,1,3,110
"194","group10171",0.488889,30.1454,1,1,60
"195","group10172",0.733333,30.8393,1,1,74
"196","group10173",0.604175,31.039,0,1,71
"197","group10174",0.633592,17.9513,1,4,105
"198","group10175",0.675708,17.3888,1,4,109
"199","group10176",0.71875,32.8821,0,1,66
"200","group10177",0.63345,17.3455,1,4,11
"201","group10178",0.643393,18.0909,0,4,11
"202","group10179",0.586389,19,0,4,11
"203","group1018",0.666771,34.6904,1,5,201
"204","group10180",0.624838,18.859,2,4,13
"205","group10181",0.795918,0,0,1,3
"206","group10182",0.631603,6.75873,1,2,33
"207","group10183",0.44132,25.5513,0,2,13
"208","group10184",0.590025,20.2198,0,2,14
"209","group10185",0.5,33.5778,1,1,10
"210","group10186",0.450704,33.3778,1,1,10
"211","group10187",0.516484,33.1778,1,1,10
"212","group10188",0.65069,18.7734,0,1,29
"213","group10189",0.677419,20.4929,1,1,27
"214","group1019",0.81797,35.1904,0,5,200
"215","group10190",0.795918,10,0,1,6
"216","group10191",0.795918,21.25,1,1,8
"217","group10192",0.704875,34.5333,0,2,30
"218","group10193",0.795849,21.0524,1,3,32
"219","group10194",0.616641,31.8902,0,2,33
"220","group10195",0.745921,32.2178,0,2,33
"221","group10196",0.71113,32.8144,0,2,33
"222","group10197",0.684256,33.142,0,2,33
"223","group10198",0.722222,33.4697,0,2,33
"224","group10199",0.558214,33.7973,0,2,33
"225","group102",0.821373,29.5443,1,3,126
"226","group1020",0.731646,35.4379,0,5,201
"227","group10200",0.58442,35.9739,0,2,18
"228","group10201",0.66317,34.4508,1,2,33
"229","group10202",0.708094,34.7784,1,2,33
"230","group10203",0.734138,35.0473,0,2,33
"231","group10204",0.646695,13.7596,0,4,45
"232","group10205",0.671582,35.6856,1,2,33
"233","group10206",0.719642,36.0152,1,2,33
"234","group10207",0.755493,36.3447,0,2,33
"235","group10208",0.67811,36.5587,0,2,33
"236","group10209",0.639513,36.7746,0,2,33
"237","group1021",0.772576,35.2522,1,5,201
"238","group10210",0.76426,37.0227,1,2,33
"239","group10211",0.633029,37.5928,0,2,33
"240","group10212",0.604394,37.9811,1,2,33
"241","group10213",0.72154,37.9811,0,2,33
"242","group10214",0.577639,37.9811,0,2,33
"243","group10215",0.639741,38.004,0,2,32
"244","group10216",0.739441,37.6439,0,2,33
"245","group10217",0.6389,29.8777,0,3,38
"246","group10218",0.709182,29.1394,1,3,38
"247","group10219",0.626297,26.3987,0,3,40
"248","group1022",0.805004,35.0283,1,5,201
"249","group10220",0.759278,26.1359,1,3,40
"250","group10221",0.755542,21.0152,0,4,45
"251","group10222",0.639791,12.4953,1,4,72
"252","group10223",0.682889,20.4841,0,3,46
"253","group10224",0.747549,32.7807,1,2,34
"254","group10225",0.579859,20.0831,0,3,46
"255","group10226",0.637457,19.914,3,3,46
"256","group10227",0.735604,31.5472,1,2,34
"257","group10228",0.627119,31.2389,1,2,34
"258","group10229",0.655422,30.0134,0,2,35
"259","group1023",0.788193,34.8157,1,5,201
"260","group10230",0.740344,33.8771,0,2,43
"261","group10231",0.825,37.2027,1,1,33
"262","group10232",0.803279,37.0871,1,1,33
"263","group10233",0.541799,34.9029,0,2,54
"264","group10234",0.642587,35.1977,0,1,66
"265","group10235",0.698804,33.2845,0,1,38
"266","group10236",0.571429,33.6218,1,1,35
"267","group10237",0.66584,12.1057,3,4,53
"268","group10238",0.631008,10.767,3,4,53
"269","group10239",0.419355,39.2982,1,1,19
"270","group1024",0.725683,34.5951,1,5,201
"271","group10240",0.466667,38.7273,1,1,34
"272","group10241",0.759181,29.4126,0,2,76
"273","group10242",0.827273,33.7662,0,1,22
"274","group10243",0.645624,34.5061,0,2,41
"275","group10244",0.531195,29.3874,0,1,48
"276","group10245",0.833333,22.2875,1,1,44
"277","group10246",0.831224,26.4668,0,2,91
"278","group10247",0.675593,8.69048,3,5,53
"279","group10248",0.487087,36.5896,0,3,87
"280","group10249",0.738881,37.9429,0,2,61
"281","group1025",0.577293,34.3749,2,5,201
"282","group10250",0.647059,0.769231,0,1,13
"283","group10251",0.607843,26.0789,1,1,56
"284","group10252",0.558824,26.3365,1,1,56
"285","group10253",0.472222,26.7788,1,1,49
"286","group10254",0.638889,24.9038,1,1,56
"287","group10255",0.708333,24.7598,1,1,56
"288","group10256",0.631579,27.96,1,1,48
"289","group10257",0.693117,13.6165,0,3,88
"290","group10258",0.577109,28.5759,0,2,58
"291","group10259",0.687674,16.6644,1,4,77
"292","group1026",0.758614,34.1553,1,5,201
"293","group10260",0.75,31.1385,1,1,57
"294","group10261",0.75,32.6779,1,1,57
"295","group10262",0.658537,34.7167,1,1,50
"296","group10263",0.909091,34.1554,1,1,57
"297","group10264",0.590567,34.6861,1,1,57
"298","group10265",0.9,37.0065,1,1,50
"299","group10266",0.75,36.3158,1,1,57
"300","group10267",0.527778,36.6482,1,1,50
"301","group10268",0.75,34.7801,0,1,57
"302","group10269",0.84375,34.1435,1,1,57
"303","group1027",0.778273,33.6246,1,5,201
"304","group10270",0.631579,33.604,1,1,57
"305","group10271",0.816083,33.1942,0,1,57
"306","group10272",0.573629,31.6113,0,1,60
"307","group10273",0.754974,29.5921,0,3,59
"308","group10274",0.592593,35.5468,1,1,56
"309","group10275",0.8,35.5371,1,1,50
"310","group10276",0.608221,14.256,1,4,103
"311","group10277",0.640783,14.0796,0,4,101
"312","group10278",0.628154,13.0981,1,4,104
"313","group10279",0.690404,13.8245,1,4,88
"314","group1028",0.779453,33.4718,2,5,201
"315","group10280",0.773909,29.3639,1,1,49
"316","group10281",0.7,31.5145,1,1,49
"317","group10282",0.588235,32.2466,1,1,49
"318","group10283",0.582483,33.8291,1,1,49
"319","group10284",0.482143,36.8583,1,1,43
"320","group10285",0.723282,31.6014,0,1,69
"321","group10286",0.685393,35.8835,1,1,49
"322","group10287",0.66995,27.9692,1,3,83
"323","group10288",0.644678,27.9412,0,3,83
"324","group10289",0.695225,28.2924,0,3,81
"325","group1029",0.804813,33.8437,0,5,199
"326","group10290",0.636976,27.8176,0,3,83
"327","group10291",0.612153,28.0809,0,3,82
"328","group10292",0.655796,28.1334,0,3,82
"329","group10293",0.606433,27.4725,1,3,83
"330","group10294",0.743646,28.2338,0,3,82
"331","group10295",0.60949,28.2481,1,3,82
"332","group10296",0.652555,27.6692,0,2,56
"333","group10297",0.633114,31.1515,0,1,12
"334","group10298",0.665716,27.5602,0,1,77
"335","group10299",0.695601,27.8919,1,3,81
"336","group103",0.621032,29.7464,1,3,126
"337","group1030",0.801303,33.908,1,5,201
"338","group10300",0.68248,27.8839,0,3,81
"339","group10301",0.692163,27.8775,0,3,81
"340","group10302",0.766155,17.6922,0,1,49
"341","group10303",0.775862,15.4054,1,1,55
"342","group10304",0.517725,11.2635,0,2,65
"343","group10305",0.545455,15.0773,1,1,56
"344","group10306",0.711588,15.0636,0,1,56
"345","group10307",0.794572,19.0302,0,2,63
"346","group10308",0.833279,21.0962,0,1,61
"347","group10309",0.711934,23.5227,0,1,54
"348","group1031",0.714109,33.8837,1,5,201
"349","group10310",0.75,28.5181,0,1,52
"350","group10311",0.76448,33.8482,1,1,58
"351","group10312",0.846154,37.6174,1,1,46
"352","group10313",0.724138,32.958,1,1,57
"353","group10314",0.660388,25.7902,1,2,68
"354","group10315",0.695804,25.4491,0,2,68
"355","group10316",0.666534,25.2291,0,2,68
"356","group10317",0.749442,25,0,2,68
"357","group10318",0.656725,24.831,0,2,68
"358","group10319",0.664481,24.5575,0,2,68
"359","group1032",0.886289,33.8596,0,5,201
"360","group10320",0.765251,24.1462,1,2,68
"361","group10321",0.536585,28.7773,1,1,56
"362","group10322",0.780542,29.3643,0,1,55
"363","group10323",0.639779,26.5213,0,2,57
"364","group10324",0.758864,3.27062,0,2,54
"365","group10325",0.795918,9.17778,1,1,10
"366","group10326",0.728371,4,0,1,5
"367","group10327",0.737827,19.9899,1,4,35
"368","group10328",0.573377,13.6926,0,1,59
"369","group10329",0.677866,9.48704,1,3,81
"370","group1033",0.665965,34.8355,2,5,200
"371","group10330",0.55,18.5248,1,1,54
"372","group10331",0.591897,26.8077,0,1,46
"373","group10332",0.647059,18.2896,1,1,52
"374","group10333",0.666667,16.1258,1,1,58
"375","group10334",0.352941,13.5882,1,1,17
"376","group10335",0.5625,15.3216,1,1,19
"377","group10336",0.606061,16.5673,1,1,19
"378","group10337",0.482759,17.1305,1,1,29
"379","group10338",0.708846,0.423333,2,4,23
"380","group10339",1,13,0,1,3
"381","group1034",0.661335,34.8303,1,5,201
"382","group10340",0.435892,11.5606,0,1,12
"383","group10341",0.485522,8.76667,0,1,16
"384","group10342",0.601462,19.2271,1,1,59
"385","group10343",0.706395,1.89167,0,3,14
"386","group10344",0.78,0,0,1,2
"387","group10345",0.753623,40,0,1,6
"388","group10346",0.734217,32.1557,0,3,88
"389","group10347",0.811185,11,0,1,2
"390","group10348",0.862839,35.9649,1,1,57
"391","group10349",0.729972,24.0588,1,4,34
"392","group1035",0.753359,34.9654,1,5,201
"393","group10350",0.795918,4.08333,1,1,9
"394","group10351",0.604943,3.42857,0,1,8
"395","group10352",0.677324,34.6071,0,1,8
"396","group10353",0.754121,34.8571,0,1,8
"397","group10354",0.64602,14.0943,0,2,30
"398","group10355",0.651171,25.4675,0,1,22
"399","group10356",0.683067,24.2857,0,1,22
"400","group10357",0.581518,24.987,1,1,22
"401","group10358",0.661755,24.8571,0,1,22
"402","group10359",0.571867,10.974,1,1,22
"403","group1036",0.71876,35.1844,1,5,201
"404","group10360",0.666338,0.714178,2,2,47
"405","group10361",0.677571,2.33333,0,1,6
"406","group10362",0.672269,7.74545,1,1,11
"407","group10363",0.664445,11.655,0,1,19
"408","group10364",0.79625,21.2718,0,2,40
"409","group10365",0.722222,26.252,1,1,32
"410","group10366",0.666667,32.3969,0,1,47
"411","group10367",0.795918,0,0,1,5
"412","group10368",0.662698,9.85714,0,2,7
"413","group10369",0.664861,7.12,1,2,25
"414","group1037",0.859639,35.4383,1,5,201
"415","group10370",0.587437,7.21429,0,2,21
"416","group10371",0.482787,12.6667,0,1,6
"417","group10372",0.400835,12.6667,0,1,6
"418","group10373",0.723234,24.9431,0,3,99
"419","group10374",0.691434,32.0601,1,3,88
"420","group10375",0.786093,31.279,1,3,24
"421","group10376",0.647059,22.3916,1,1,29
"422","group10377",0.774005,11.6589,0,4,43
"423","group10378",0.619248,13.1456,0,2,52
"424","group10379",0.625,36.1762,1,1,21
"425","group1038",0.599551,35.7094,0,5,201
"426","group10380",0.651045,29.9135,0,2,59
"427","group10381",0.636364,27.5616,1,1,35
"428","group10382",0.758913,4.33333,0,1,8
"429","group10383",0.755035,9,0,3,12
"430","group10384",0.816697,11.5043,0,4,27
"431","group10385",0.59919,12.0256,0,1,12
"432","group10386",0.833333,7,0,1,4
"433","group10387",0.561279,1.90833,0,1,16
"434","group10388",0.735043,4,0,3,5
"435","group10389",0.702128,34,0,1,2
"436","group1039",0.755963,36.2551,1,5,201
"437","group10390",0.71456,0,0,2,4
"438","group10391",0.703233,0.533333,0,2,6
"439","group10392",0.651642,4.95556,0,2,10
"440","group10393",0.610191,7.07143,0,2,8
"441","group10394",0.496725,4.1,0,1,5
"442","group10395",0.570917,3.66667,0,1,7
"443","group10396",0.53794,3.09524,0,1,7
"444","group10397",0.736914,17.4019,1,3,42
"445","group10398",0.615699,23.7333,0,1,10
"446","group10399",0.709538,23.4751,0,2,40
"447","group104",0.781136,30.0799,0,3,126
"448","group1040",0.784821,36.7832,0,5,201
"449","group10400",0.649485,10.4,0,1,10
"450","group10401",0.58267,9.19873,1,1,44
"451","group10402",0.653383,13.8571,0,1,8
"452","group10403",0.374038,6,0,1,2
"453","group10404",0.625,24.4144,0,1,54
"454","group10405",0.66986,14.8653,2,3,66
"455","group10406",0.654537,6.25667,0,2,23
"456","group10407",0.686436,10.4502,2,3,20
"457","group10408",0.715507,13.8485,0,3,10
"458","group10409",0.78125,13.75,0,3,15
"459","group1041",0.617265,37.0297,1,5,201
"460","group10410",0.704355,10.7436,0,3,12
"461","group10411",0.840883,15.8571,0,3,6
"462","group10412",0.655614,0,0,1,2
"463","group10413",0.895918,14.1503,1,3,16
"464","group10414",0.751417,12.4615,0,3,12
"465","group10415",0.767128,12.7582,0,3,12
"466","group10416",0.774894,12.5604,1,3,12
"467","group10417",0.747208,14.7953,1,3,17
"468","group10418",0.769213,12.7273,0,2,9
"469","group10419",0.712551,12.6026,1,3,12
"470","group1042",0.695279,37.2771,1,5,201
"471","group10420",0.736184,11.9298,1,3,17
"472","group10421",0.756794,11.4854,2,3,17
"473","group10422",0.721169,10.9883,1,3,17
"474","group10423",0.748964,10.6786,0,1,7
"475","group10424",0.718625,11.1579,0,3,17
"476","group10425",0.716849,9.25238,4,3,19
"477","group10426",0.682357,12.6389,1,3,9
"478","group10427",0.696231,10.2424,0,3,11
"479","group10428",0.714755,13.0833,0,3,9
"480","group10429",0.655281,15.2026,0,2,16
"481","group1043",0.735486,37.5081,1,5,201
"482","group10430",0.787211,17.0074,0,2,15
"483","group10431",0.879085,17.0147,0,2,15
"484","group10432",0.783706,17.0882,0,2,15
"485","group10433",0.710155,17.0662,0,2,15
"486","group10434",0.743713,16.9044,0,2,15
"487","group10435",0.742926,16.9044,0,2,15
"488","group10436",0.757282,16.8676,0,2,15
"489","group10437",0.744386,16.7721,0,2,15
"490","group10438",0.621809,25.8333,0,1,4
"491","group10439",0.707107,8.03846,0,1,11
"492","group1044",0.751849,37.7389,0,5,201
"493","group10440",0.717425,11.3853,1,3,20
"494","group10441",0.743539,14.4152,1,2,17
"495","group10442",0.730857,12.2714,1,3,19
"496","group10443",0.671781,11.2597,1,3,20
"497","group10444",0.805109,18.6944,0,2,8
"498","group10445",0.792857,14.8222,0,2,9
"499","group10446",0.757895,14.4222,0,2,9
"500","group10447",0.836897,14.0222,0,2,9
"501","group10448",0.707921,0,0,2,2
"502","group10449",0.495245,33.2117,0,1,32
"503","group1045",0.718448,37.9607,1,5,201
"504","group10450",0.664566,13.5238,0,1,7
"505","group10451",0.686157,33,0,2,2
"506","group10452",0.521739,36.1311,0,1,44
"507","group10453",0.66429,4.9678,1,3,32
"508","group10454",0.705228,18.2022,1,1,31
"509","group10455",0.691254,18.2344,0,1,31
"510","group10456",0.682567,37.6667,0,1,4
"511","group10457",0.717719,35.697,1,1,33
"512","group10458",0.818053,33.0538,0,2,35
"513","group10459",0.708512,4.21795,1,2,12
"514","group1046",0.753063,38.2239,1,5,201
"515","group10460",0.654348,37.9107,1,1,59
"516","group10461",0.686895,14.0022,1,4,89
"517","group10462",0.589145,26.6591,0,3,63
"518","group10463",0.704454,36.4808,1,2,40
"519","group10464",0.686804,25.5183,0,4,72
"520","group10465",0.625292,26.1481,1,4,72
"521","group10466",0.619159,26.8683,0,4,71
"522","group10467",0.68929,26.3614,1,4,73
"523","group10468",0.602905,27.3832,0,4,72
"524","group10469",0.740416,15.7616,0,4,94
"525","group1047",0.760115,38.4878,0,5,201
"526","group10470",0.75848,14.9492,1,5,112
"527","group10471",0.644245,29.3265,0,4,72
"528","group10472",0.712217,17.36,2,4,96
"529","group10473",0.646493,30.3661,1,4,73
"530","group10474",0.670024,31.6283,1,4,72
"531","group10475",0.642386,32.1407,1,4,72
"532","group10476",0.649361,31.8663,1,4,72
"533","group10477",0.660812,31.5013,0,4,72
"534","group10478",0.659918,31.2233,0,4,72
"535","group10479",0.698524,30.465,1,4,72
"536","group1048",0.561202,38.701,0,5,201
"537","group10480",0.674665,29.5731,2,4,72
"538","group10481",0.635349,21.9528,1,4,78
"539","group10482",0.716519,25.3491,2,4,72
"540","group10483",0.72205,24.6664,1,4,72
"541","group10484",0.57352,22.6194,2,4,72
"542","group10485",0.726792,28.2485,1,3,62
"543","group10486",0.686997,21.2625,1,4,72
"544","group10487",0.694391,26.0486,0,3,63
"545","group10488",0.712232,25.2144,0,3,63
"546","group10489",0.62361,19.2447,1,4,72
"547","group1049",0.82302,38.9141,1,5,201
"548","group10490",0.747875,18.4404,1,2,49
"549","group10491",0.695084,38.5552,0,1,42
"550","group10492",0.623622,13.3684,0,1,20
"551","group10493",0.678788,13.5737,0,1,20
"552","group10494",0.823529,30.2958,1,1,35
"553","group10495",0.590322,5.42105,1,2,19
"554","group10496",0.694668,18.3333,1,2,4
"555","group10497",0.794521,39,0,2,2
"556","group10498",0.727433,9.46429,0,3,8
"557","group10499",0.62682,26.1818,1,3,12
"558","group105",0.719279,22.4434,1,5,201
"559","group1050",0.799196,39.065,1,5,201
"560","group10500",0.473406,36.7163,0,1,63
"561","group10501",0.5,38.3092,1,1,35
"562","group10502",0.669071,14.6429,0,1,8
"563","group10503",0.813029,22.6275,1,1,18
"564","group10504",0.701,22.1307,0,1,18
"565","group10505",0.705991,7.96732,0,2,18
"566","group10506",0.69285,9.19697,0,3,11
"567","group10507",0.691829,14.2157,0,3,17
"568","group10508",0.639481,37.8247,0,1,76
"569","group10509",0.695296,0.485064,0,1,33
"570","group1051",0.728056,39.1963,1,5,201
"571","group10510",0.633652,12.1905,0,1,7
"572","group10511",0.673469,14,0,2,3
"573","group10512",0.544564,16.1111,0,2,10
"574","group10513",0.6,39.1633,1,1,31
"575","group10514",0.6,26,0,1,2
"576","group10515",0.814815,39.7778,0,1,9
"577","group10516",0.686607,13.7513,1,4,55
"578","group10517",0.676493,13.7519,1,4,56
"579","group10518",0.690743,13.985,1,4,56
"580","group10519",0.731884,17.0444,0,4,46
"581","group1052",0.704225,39.292,0,5,201
"582","group10520",0.749753,25.3683,0,3,36
"583","group10521",0.718373,25.5317,0,3,36
"584","group10522",0.763095,25.5063,1,3,36
"585","group10523",0.714455,25.3968,1,3,36
"586","group10524",0.685709,25.4683,1,3,36
"587","group10525",0.821206,24.9556,0,3,36
"588","group10526",0.726528,24.8857,0,3,36
"589","group10527",0.766467,26.9586,0,2,30
"590","group10528",0.800527,26.5548,1,2,31
"591","group10529",0.667656,24.7683,0,3,36
"592","group1053",0.714484,38.9796,1,5,201
"593","group10530",0.795866,24.3587,1,3,36
"594","group10531",0.676986,12.0079,1,4,57
"595","group10532",0.690711,23.1604,0,3,34
"596","group10533",0.692654,22.1795,0,3,13
"597","group10534",0.660392,21.6257,0,1,61
"598","group10535",0.645254,22.518,1,3,60
"599","group10536",0.632944,2.88788,2,4,42
"600","group10537",0.822222,30.8,0,1,5
"601","group10538",0.708492,35,0,1,2
"602","group10539",0.800174,13.1081,1,4,32
"603","group1054",0.580145,38.4569,1,5,201
"604","group10540",0.765414,1.4,0,1,5
"605","group10541",0.637091,3.14545,0,1,11
"606","group10542",0.741041,33.5937,1,3,76
"607","group10543",0.772307,32.6642,0,4,90
"608","group10544",0.769231,29.4585,1,1,23
"609","group10545",0.572648,25.443,0,2,57
"610","group10546",0.912816,35.329,1,1,31
"611","group10547",0.65582,2.02778,0,2,9
"612","group10548",0.602291,13.9333,0,2,6
"613","group10549",0.504073,17.8733,0,3,25
