group7136-2, hypothetical protein
group1103, glycerophosphoryl diester phosphodiesterase
group1100, Glutathione S-transferase domain protein
group1101, hypothetical protein
group425, Antibiotic biosynthesis monooxygenase
group424, transcriptional regulator%2C LysR family
group427, transcriptional regulator%2C BadM/Rrf2 family
group426, methylmalonate-semialdehyde dehydrogenase
group421, type IV secretion protein VirB11
group420, type IV secretion protein VirB10
group1108, ErfK/YbiS/YcfS/YnhG family protein
group1109, ErfK/YbiS/YcfS/YnhG family protein
group14219, hypothetical protein
group14218, hypothetical protein
group14215, hypothetical protein
group14214, hypothetical protein
group14217, hypothetical protein
group14216, transposase IS204/IS1001/IS1096/IS1165 family protein
group14211, hypothetical protein
group14210, hypothetical protein
group14213, hypothetical protein
group14212, D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
group17742, GCN5 family N-acetyltransferase
group17743, hypothetical protein
group17740, hypothetical protein
group17741, hypothetical protein
group17746, methyltransferase
group17747, hypothetical protein
group17744, hypothetical protein
group17745, transcriptional regulator%2C TetR family
group17748, hypothetical protein
group17749, hypothetical protein
group18743, transcriptional regulator domain protein
group18742, hypothetical protein
group18741, hypothetical protein
group18740, hypothetical protein
group18747, hypothetical protein
group18746, hypothetical protein
group18745, hypothetical protein
group18744, hypothetical protein
group413-2, putative two component transcriptional regulator%2C winged helix family
group18749, hypothetical protein
group18748, cold-shock DNA-binding domain protein
group1050-2, glycoside hydrolase family 24
group11591, hypothetical protein
group11590, Ion transport 2 domain protein
group11593, hypothetical protein
group11592, hypothetical protein
group11595, aldo/keto reductase
group11594, glutathionylspermidine synthase
group11597, amidohydrolase
group11596, short-chain dehydrogenase/reductase SDR
group11599, Chitin deacetylase
group11598, thiamine pyrophosphate protein central region
group17294, hypothetical protein
group10247, beta-lactamase
group17296, hypothetical protein
group17297, hypothetical protein
group17290, kinase
group17291, hypothetical protein
group10240, Hydroxypyruvate reductase
group17293, hypothetical protein
group17298, hypothetical protein
group17299, hypothetical protein
group10248, PilT protein domain protein
group10249, hypothetical protein
group2459, hypothetical protein
group2458, cobalamin 5'-phosphate synthase
group2451, membrane protein
group2450, transcriptional regulator%2C LysR family
group2453, putative uracil-DNA glycosylase protein
group2452, transcriptional regulator%2C AsnC family
group2455, integral membrane sensor signal transduction histidine kinase
group2454, nuclease (SNase domain protein)
group2457, nicotinate-nucleotide/dimethylbenzimidazole phosphoribosyltransferase
group2456, membrane protein
group8800-2, putative transposase of insertion sequence-2%2C orfA protein
group20148, hypothetical protein
group20149, hypothetical protein
group20142, hypothetical protein
group20143, hypothetical protein
group6226, ErfK/YbiS/YcfS/YnhG family protein
group6227, OmpA/MotB domain protein
group6224, membrane protein
group6225, esterase
group6222, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6223, inosine-5'-monophosphate dehydrogenase
group6220, binding-protein-dependent transport systems inner membrane component
group6221, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6228, beta-glucosidase
group6229, transcriptional regulator%2C TetR family
group16165, transcriptional regulator%2C LysR family
group16164, beta-lactamase
group16167, hypothetical protein
group16166, hypothetical protein
group16161, intradiol ring-cleavage dioxygenase
group16160, hypothetical protein
group16163, binding-protein-dependent transport systems inner membrane component
group16162, hypothetical protein
group16169, hypothetical protein
group16168, hypothetical protein
group9568, tyrosine recombinase XerD
group9569, nucleotidyltransferase
group13535, hypothetical protein
group9565, binding-protein-dependent transport systems inner membrane component
group9566, hypothetical protein
group13536, Plastocyanin
group13531, hypothetical protein
group9561, Integrase catalytic region
group9562, hypothetical protein
group13532, hypothetical protein
group168, heavy metal translocating P-type ATPase
group169, hypothetical protein
group160, aminoglycoside phosphotransferase
group161, adenylate/guanylate cyclase
group162, Methyltransferase type 11
group163, hypothetical protein
group164, major facilitator superfamily MFS_1
group165, hypothetical protein
group166, hypothetical protein
group167, cytochrome oxidase maturation protein%2C cbb3-type
group7179, mobilization protein C
group7178, ACS59147.1 Electron transfer flavoprotein alpha/beta-subunit (plasmid)
group7171, transposase
group7170, hypothetical protein
group7173, DNA-cytosine methyltransferase
group7172, Integrase catalytic region
group7175, Integrase catalytic region
group7174, hypothetical protein
group7177, hypothetical protein
group7176, recombinase
group12662, acriflavin resistance protein
group12663, transposase IS3/IS911 family protein
group12660, hypothetical protein
group12661, hypothetical protein
group12666, transposase IS3/IS911 family protein
group12667, transposase IS66
group12664, hypothetical protein
group12665, transposase
group12668, plasmid pRiA4b ORF-3 family protein
group12669, IS66 Orf2 family protein
group9416-7, transposase
group9416-5, transposase
group9416-4, transposase
group9416-3, transposase
group9416-2, transposase
group6774-2, transcriptional regulator%2C LysR family
group4529, hypothetical protein
group20750, hypothetical protein
group20759, hypothetical protein
group20758, hypothetical protein
group14158, hypothetical protein
group14159, hypothetical protein
group14152, hypothetical protein
group14153, hypothetical protein
group14150, hypothetical protein
group14151, hypothetical protein
group14156, hypothetical protein
group14157, transposase IS3
group14154, hypothetical protein
group14155, hypothetical protein
group13156-3, AraC family transcriptional regulator
group10651, hypothetical protein
group5921, polysaccharide export protein
group10650, Amidase
group10653, putative transposase of insertion sequence-2%2C orfA protein
group17604, hypothetical protein
group10655, replicative DNA helicase
group17602, hypothetical protein
group17601, hypothetical protein
group17600, hypothetical protein
group4376, extracellular solute-binding protein family 5
group4377, 3-octaprenyl-4-hydroxybenzoate carboxy-lyase
group4374, binding-protein-dependent transport systems inner membrane component
group4375, carboxyphosphonoenolpyruvate phosphonomutase
group11035-2, ATPase
group4372, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group4373, binding-protein-dependent transport systems inner membrane component
group4370, hypothetical protein
group4371, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group1091-10, transposase IS630-like protein
group1091-11, transposase IS630-like protein
group13278, aldo/keto reductase
group13279, hypothetical protein
group13272, Ti-type conjugative transfer relaxase TraA
group13273, Tyrosine recombinase XerD
group13270, hypothetical protein
group13271, hypothetical protein
group13276, hypothetical protein
group13277, hypothetical protein
group13274, transposase IS5 family protein
group13275, hypothetical protein
group8963, hypothetical protein
group8962, hypothetical protein
group8961, putative transposase of insertion sequence-2%2C orfA protein
group8960, (Glutamate--ammonia-ligase) adenylyltransferase
group8967, hypothetical protein
group8966, hypothetical protein
group8965, histidine kinase
group8964, ABC transporter permease
group8969, transposase
group8968, hypothetical protein
group1461, Glycine hydroxymethyltransferase
group1460, Peptidoglycan-binding domain 1 protein
group1463, riboflavin biosynthesis protein RibD
group1348, signal peptidase I
group1349, Ribonuclease III
group1462, ATP-cone domain protein
group1340, dihydrodipicolinate synthase
group1341, SsrA-binding protein
group1342, hypothetical protein
group1343, DNA-directed RNA polymerase%2C omega subunit
group1344, (p)ppGpp synthetase I%2C SpoT/RelA
group1345, hypothetical protein
group1346, hypothetical protein
group1347, holo-acyl-carrier-protein synthase
group1467, dTDP-glucose 4%2C6-dehydratase
group10384, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group4648, short-chain dehydrogenase/reductase SDR
group4649, methyltransferase small
group4646, beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA
group4647, ACS59132.1 Beta-ketoacyl synthase (plasmid)
group4644, hypothetical protein
group4645, ferric uptake regulator%2C Fur family
group4642, hypothetical protein
group4643, hypothetical protein
group4640, hypothetical protein
group4641, hypothetical protein
group5111, NADH dehydrogenase
group5110, NADPH-dependent FMN reductase
group5113, two component transcriptional regulator%2C LuxR family
group5112, beta-lactamase
group5115, two component transcriptional regulator%2C LuxR family
group5114, regulator
group8349, hypothetical protein
group5116, PAS/PAC sensor signal transduction histidine kinase
group5119, glycosyl transferase family 39
group8346, phosphoesterase PA-phosphatase related
group8345, protein involved in C cytochrome biogenesis
group8344, transposase IS4 family protein
group8343, hypothetical protein
group8342, ketosteroid isomerase
group8341, hypothetical protein
group8340, transposase IS4 family protein
group18239, short-chain dehydrogenase/reductase SDR
group18238, glycosyl transferase group 1
group18233, hypothetical protein
group18232, binding-protein-dependent transport systems inner membrane component
group18231, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group18230, endoribonuclease L-PSP
group18237, isochorismatase hydrolase
group18236, isochorismatase hydrolase
group18235, beta-lactamase
group18234, Inosine/uridine-preferring nucleoside hydrolase
group2699, oxidoreductase molybdopterin binding protein
group2698, protocatechuate 3%2C4-dioxygenase
group2693, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group2692, major facilitator superfamily MFS_1
group2691, hypothetical protein
group2690, hypothetical protein
group2697, Na+/H+ antiporter
group2696, K potassium transporter
group2695, tyrosyl-tRNA synthetase
group2694, multidrug ABC transporter
group3874, Malate/L-lactate dehydrogenase
group3875, transcriptional regulator%2C AraC family
group3876, hypothetical protein
group3877, oxidoreductase alpha (molybdopterin) subunit
group3870, Substrate-binding region of ABC-type glycine betaine transport system
group3871, binding-protein-dependent transport systems inner membrane component
group3872, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3873, NADH:flavin oxidoreductase/NADH oxidase
group3878, hisitidine kinase
group3879, hypothetical protein
group9768, O-methyltransferase
group9769, hypothetical protein
group9766, transcriptional regulator
group9767, hypothetical protein
group9764, helix-turn-helix domain protein
group9765, Integrase catalytic region
group9762, hypothetical protein
group9763, transposase
group9760, hypothetical protein
group9761, hypothetical protein
group3250, xanthine dehydrogenase accessory protein XdhC
group3251, hypothetical protein
group3252, transcriptional regulator%2C LysR family
group3253, hypothetical protein
group3254, peptidase S51 dipeptidase E
group3255, hypothetical protein
group3256, guanine deaminase
group3257, FMN-dependent alpha-hydroxy acid dehydrogenase
group3258, hypothetical protein
group3259, phosphatase
group6758, hypothetical protein
group6759, iron-containing alcohol dehydrogenase
group6756, hypothetical protein
group6757, poly(3-hydroxyalkanoate) polymerase
group6754, MerR family transcriptional regulator
group6755, hypothetical protein
group6752, beta-lactamase domain protein
group6753, Homoserine O-acetyltransferase
group6750, succinic semialdehyde dehydrogenase
group6751, iron-containing alcohol dehydrogenase
group7401, 3-oxosteroid 1-dehydrogenase
group7400, Enoyl-CoA hydratase/isomerase
group7403, CoA transferase
group7402, 3-oxoadipate enol-lactone hydrolase
group7405, AraC family transcriptional regulator
group7404, hypothetical protein
group7407, oxidoreductase
group7406, hypothetical protein
group7409, sorbosone dehydrogenase
group7408, L-aspartate dehydrogenase
group4989, hypothetical protein
group4988, HIT family hydrolase
group4985, hypothetical protein
group4984, cyclase
group4987, hypothetical protein
group4986, hypothetical protein
group4981, hypothetical protein
group4980, hypothetical protein
group4983, hypothetical protein
group4982, hypothetical protein
group5775-4, conjugal transfer protein TrbB
group5775-2, P-type conjugative transfer ATPase TrbB
group1807, membrane protein
group1806, hypothetical protein
group1805, esterase%2C PHB depolymerase family
group1804, hypothetical protein
group1803, Adenine deaminase
group1802, extracellular solute-binding protein family 1
group1801, binding-protein-dependent transport systems inner membrane component
group1800, binding-protein-dependent transport systems inner membrane component
group1809, membrane protein
group1808, Catalase
group4329, hypothetical protein
group4328, radical SAM enzyme%2C Cfr family
group5428, precorrin-6y C5%2C15-methyltransferase (decarboxylating)%2C CbiE subunit
group4321, lipolytic protein G-D-S-L family protein
group4320, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group14392, hypothetical protein
group14393, inner-membrane translocator
group4325, hypothetical protein
group4324, transcriptional coactivator/pterin dehydratase
group14396, hypothetical protein
group4326, RNA polymerase%2C sigma-24 subunit%2C ECF subfamily
group10899, hypothetical protein
group10898, hypothetical protein
group10897, hypothetical protein
group10896, hypothetical protein
group10895, hypothetical protein
group10894, hypothetical protein
group10893, hypothetical protein
group10892, hypothetical protein
group10891, hypothetical protein
group10890, hypothetical protein
group5421, plasmid partitioning protein RepB
group5420, replication protein C
group5423, precorrin-6A synthase (deacetylating)
group17693, hypothetical protein
group11418, GCN5-related N-acetyltransferase
group11419, short-chain dehydrogenase/reductase SDR
group11414, prevent-host-death protein
group11415, plasmid stabilization protein
group11416, hypothetical protein
group11417, hypothetical protein
group11410, hypothetical protein
group11411, hypothetical protein
group11412, LysR family transcriptional regulator
group11413, hypothetical protein
group19623, GCN5-related N-acetyltransferase
group19622, hypothetical protein
group19621, hypothetical protein
group19620, hypothetical protein
group19627, hypothetical protein
group19626, hypothetical protein
group19625, hypothetical protein
group19624, hypothetical protein
group19629, putative GAF sensor protein
group19628, hypothetical protein
group18990, DNA topology modulation kinase FlaR-like protein
group18991, hypothetical protein
group18996, adenylate cyclase protein
group18997, hypothetical protein
group18994, binding-protein-dependent transport systems inner membrane component
group18995, OsmC family protein
group2868, hypothetical protein
group2869, Methyltransferase type 11
group2864, hypothetical protein
group2865, putative transcriptional regulator%2C GntR family
group2866, branched-chain amino acid aminotransferase
group2867, putative addiction module antidote protein%2C CopG/Arc/MetJ family
group2860, binding-protein-dependent transport systems inner membrane component
group2861, extracellular solute-binding protein family 1
group2862, hypothetical protein
group2863, aldo/keto reductase
group17153, hypothetical protein
group17152, Glyoxalase/bleomycin resistance protein/dioxygenase
group17151, LuxR family transcriptional regulator
group17150, hypothetical protein
group17157, hypothetical protein
group17156, hypothetical protein
group17155, FAD-dependent oxidoreductase
group17154, transcriptional regulator%2C TetR family
group17159, extracellular solute-binding protein family 1
group17158, hypothetical protein
group16824, ribokinase
group16825, hypothetical protein
group16826, hypothetical protein
group16827, chemotaxis protein CheY
group16820, L-rhamnose catabolism isomerase
group16821, periplasmic binding protein/LacI transcriptional regulator
group16822, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group16823, inner-membrane translocator
group16828, multi-sensor signal transduction histidine kinase
group16829, hypothetical protein
group20223, MdtG
group20222, glyoxalase
group20221, twitching motility protein PilT
group20220, hypothetical protein
group20227, General substrate transporter
group20226, transcriptional regulator%2C LysR family
group20225, hypothetical protein
group20224, Enoyl-CoA hydratase/isomerase
group20229, L-carnitine dehydratase/bile acid-inducible protein F
group20228, hypothetical protein
group12257, hypothetical protein
group12256, hypothetical protein
group12255, transcriptional regulator%2C CopG family
group12254, deoxyguanosinetriphosphate triphosphohydrolase
group12253, restriction endonuclease
group12252, Group II intron-encoded protein LtrA
group12251, DNA invertase
group12250, hypothetical protein
group12259, transposase IS3
group12258, Integrase catalytic region
group9249, transposase
group9248, transposase IS21
group9241, phosphate ABC transporter%2C ATPase subunit
group9240, hypothetical protein
group9243, hypothetical protein
group9242, hypothetical protein
group9245, hypothetical protein
group9244, hypothetical protein
group9247, hypothetical protein
group9246, hypothetical protein
group6419, cation:proton antiporter
group6418, membrane protein
group6411, NAD-dependent epimerase/dehydratase
group6410, hypothetical protein
group6413, Undecaprenyl-phosphate galactose phosphotransferase
group6412, hypothetical protein
group6415, NADH-ubiquinone oxidoreductase subunit J
group6414, hypothetical protein
group6417, cation:proton antiporter
group6416, NADH:ubiquinone oxidoreductase subunit K
group13702, transposase IS110
group13703, transposase IS3/IS911 family protein
group13700, hypothetical protein
group13701, hypothetical protein
group13706, hypothetical protein
group13707, hypothetical protein
group13704, hypothetical protein
group13705, prolipoprotein diacylglyceryl transferase
group13708, hypothetical protein
group13709, hypothetical protein
group15704, RTX toxin
group15705, acetyl-CoA synthetase
group15706, Arylsulfatase
group15707, sulfatase
group15700, autoaggregation protein
group15701, hypothetical protein
group15702, hypothetical protein
group15703, hypothetical protein
group15708, transposase IS21
group15709, hypothetical protein
group16873, hypothetical protein
group14110-2, hypothetical protein
group7978-2, tyrosine recombinase XerD
group17838, hypothetical protein
group17839, CbbBc protein
group17834, short-chain dehydrogenase/reductase SDR
group17835, hypothetical protein
group17836, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group17837, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group17830, hypothetical protein
group17831, hypothetical protein
group17832, hypothetical protein
group17833, Acetoacetate decarboxylase
group12937-2, hypothetical protein
group6778-2, putative ABC transporter%2C substrate-binding protein
group16257-3, Ti-type conjugative transfer relaxase TraA
group5838, transcriptional regulator%2C GntR family
group5839, alpha/beta hydrolase fold protein
group5836, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5837, dihydrodipicolinate synthetase
group5834, binding-protein-dependent transport systems inner membrane component
group5835, hypothetical protein
group5832, extracellular solute-binding protein family 1
group5833, binding-protein-dependent transport systems inner membrane component
group5830, LacI family transcriptional regulator
group5831, transcriptional regulator%2C LacI family
group5769-2, Conjugal transfer protein
group19421, hypothetical protein
group19420, hypothetical protein
group19423, hypothetical protein
group19422, hypothetical protein
group19425, hypothetical protein
group19424, hypothetical protein
group19427, hypothetical protein
group19426, hypothetical protein
group19429, hypothetical protein
group19428, hypothetical protein
group10707, efflux transporter%2C RND family%2C MFP subunit
group10706, hypothetical protein
group10705, outer membrane adhesin like proteiin
group10704, hypothetical protein
group10703, hypothetical protein
group10702, hypothetical protein
group10701, hypothetical protein
group10700, hypothetical protein
group10709, hypothetical protein
group10708, hypothetical protein
group13713-2, D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
group8489-2, cupin
group3931, ACS59137.1 glycosyl transferase family 2 (plasmid)
group3930, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3933, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group3932, ACS59135.1 Nodulation protein A NodA (plasmid)
group3935, ACS59132.1 Beta-ketoacyl synthase (plasmid)
group3934, ACS59133.1 phosphopantetheine-binding (plasmid)
group3937, ACS59129.1 glucosamine/fructose-6-phosphate aminotransferase%2C isomerizing (plasmid)
group3936, ACS59130.1 maltose O-acetyltransferase (plasmid)
group3939, ACS59127.1 acyltransferase 3 (plasmid) [Rhizobium leguminosarum bv. trifolii]
group3938, ACS59128.1 Enoyl-CoA hydratase (plasmid)
group1681, chemotaxis protein CheY
group1680, hypothetical protein
group1683, hypothetical protein
group1682, putative signal transduction histidine kinase
group1685, hypothetical protein
group1684, methyltransferase UbiE
group1687, hypothetical protein
group1686, hypothetical protein
group1689, BA14K family protein
group1688, hypothetical protein
group3687, membrane protein
group3686, pyruvate kinase
group3685, Lysine exporter protein (LYSE/YGGA)
group3684, hypothetical protein
group3683, cupin
group3682, 4-oxalocrotonate tautomerase
group3681, transcriptional regulator%2C LysR family
group3680, hypothetical protein
group3689, hypothetical protein
group3688, N-formylglutamate amidohydrolase
group719, DoxX family protein
group718, adenylate/guanylate cyclase with TPR repeats
group717, hypothetical protein
group716, Carboxylesterase
group715, riboflavin biosynthesis protein RibD
group714, aminoglycoside phosphotransferase
group713, NIPSNAP family containing protein
group712, transcriptional regulator%2C LuxR family
group711, GcrA cell cycle regulator
group710, hypothetical protein
group2088, hypothetical protein
group2089, hypothetical protein
group2082, ACS59132.1 Beta-ketoacyl synthase (plasmid)
group2083, transcriptional regulator%2C HxlR family
group2080, queuine tRNA-ribosyltransferase
group2081, hypothetical protein
group2086, alpha amylase%2C catalytic region
group2087, hypothetical protein
group2084, hypothetical protein
group2085, calcium-binding protein
group20021, hypothetical protein
group20020, Alcohol dehydrogenase zinc-binding domain protein
group20023, putative transcriptional regulator%2C ArsR family
group20022, 2-oxoglutarate dehydrogenase%2C E1 subunit
group20025, hypothetical protein
group20024, adenylate/guanylate cyclase
group20027, hypothetical protein
group20026, methylmalonate-semialdehyde dehydrogenase
group20029, hypothetical protein
group20028, transposase
group11890, Luciferase-like monooxygenase
group11891, hypothetical protein
group11892, hypothetical protein
group11893, zinc-binding alcohol dehydrogenase family protein
group11894, hypothetical protein
group11895, hypothetical protein
group11896, putative cytochrome c-like protein
group11897, WGR domain protein
group11898, hypothetical protein
group11899, hypothetical protein
group2330, Serine-type D-Ala-D-Ala carboxypeptidase
group2331, diguanylate cyclase
group2332, putative ABC transporter protein
group2333, Mammalian cell entry related domain protein
group2334, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group2335, hypothetical protein
group2336, Mandelate racemase/muconate lactonizing protein
group2337, major facilitator superfamily MFS_1
group2338, metallophosphoesterase
group2339, Phosphoglycerate mutase
group9489, hypothetical protein
group9488, hypothetical protein
group9483, hypothetical protein
group9482, dienelactone hydrolase
group9481, transposase
group9480, integrase family protein
group9487, Integrase catalytic region
group9486, hypothetical protein
group9485, hypothetical protein
group9484, aspartate/ornithine carbamoyltransferase carbamoyl-P binding domain protein
group7308, succinic semialdehyde dehydrogenase
group7309, Homoserine O-acetyltransferase
group7306, adenylate/guanylate cyclase
group7307, hypothetical protein
group7304, transposase IS630-like protein
group7305, transcriptional regulator%2C LuxR family
group7302, DNA polymerase LigD%2C ligase domain protein
group7303, ATP-dependent DNA ligase
group7300, mobilization protein C
group7301, hypothetical protein
group6441, hypothetical protein
group21048, hypothetical protein
group21049, hypothetical protein
group21040, hypothetical protein
group21041, hypothetical protein
group21042, hypothetical protein
group21043, oxidoreductase domain protein
group21044, hypothetical protein
group21045, two component transcriptional regulator%2C winged helix family
group21046, hypothetical protein
group21047, hypothetical protein
group4826, Succinylglutamate desuccinylase/aspartoacylase
group4827, 2'%2C5' RNA ligase
group4824, ybaK/ebsC protein
group4825, ArsC family transcriptional regulator
group4822, Glutathione S-transferase domain protein
group4823, transcriptional regulator%2C MarR family
group4820, NAD(P)H dehydrogenase (quinone)
group4821, peptidase M29 aminopeptidase II
group4828, methylated-DNA--protein-cysteine methyltransferase
group4829, short-chain dehydrogenase/reductase SDR
group19810, hypothetical protein
group19811, hypothetical protein
group19812, hypothetical protein
group19813, hypothetical protein
group19814, hypothetical protein
group19815, Serine/threonine-protein kinase PknF
group15982, acetyl-CoA synthetase
group15983, transposase
group15980, hypothetical protein
group13756, Group II intron-encoded protein LtrA
group15986, transposase
group19816, helicase
group15984, hypothetical protein
group15985, hypothetical protein
group15988, hypothetical protein
group19817, N-acetylmuramyl-L-alanine amidase%2C negative regulator of AmpC%2C AmpD
group19818, hypothetical protein
group19819, ACS59137.1 glycosyl transferase family 2 (plasmid)
group14589, putative ABC transporter%2C substrate-binding protein
group14588, hypothetical protein
group14581, hypothetical protein
group14580, hypothetical protein
group14583, hypothetical protein
group14582, hypothetical protein
group14585, methyl-accepting chemotaxis sensory transducer with Cache sensor
group14584, HAD-superfamily hydrolase%2C subfamily IA%2C variant 3
group14587, hypothetical protein
group14586, hypothetical protein
group3692, ACS59143.1 sigma54 specific transcriptional regulator%2C Fis family (plasmid)
group16983, acetyltransferase
group16982, hypothetical protein
group16981, hypothetical protein
group16980, hypothetical protein
group16987, transposase
group16986, transcriptional regulator%2C LysR family
group16985, hypothetical protein
group16984, transposase
group16989, hypothetical protein
group16988, hypothetical protein
group14633, hypothetical protein
group14632, hypothetical protein
group14631, DNA-binding protein
group14630, hypothetical protein
group14637, hypothetical protein
group14636, hypothetical protein
group14635, hypothetical protein
group14634, hypothetical protein
group14639, hypothetical protein
group14638, hypothetical protein
group17584, extracellular solute-binding protein family 5
group17585, extracellular solute-binding protein family 5
group17586, transcriptional regulator%2C LysR family
group17587, nitrilotriacetate monooxygenase component A
group17580, binding-protein-dependent transport systems inner membrane component
group17581, aldo/keto reductase
