group7136-2, chromosome-01
group1100, chromosome-01
group1101, chromosome-01
group425, chromosome-01
group424, chromosome-01
group427, chromosome-01
group426, chromosome-01
group421, chromosome-01
group420, chromosome-01
group1108, chromosome-01
group1109, chromosome-01
group14219, fragment
group14218, fragment
group14215, fragment
group14214, plasmid-Rh02
group14217, chromosome-04
group14216, fragment
group14211, fragment
group14210, fragment
group14213, fragment
group14212, fragment
group17742, plasmid-Rh02
group17743, fragment
group17740, chromosome-02
group17741, plasmid-Rh02
group17746, chromosome-03
group17747, chromosome-04
group17744, chromosome-03
group17745, chromosome-03
group17748, chromosome-04
group17749, chromosome-04
group18743, chromosome-06
group18742, chromosome-06
group18741, fragment
group18740, fragment
group18747, plasmid-Rh05
group18746, plasmid-Rh01-circ
group18745, chromosome-06
group18744, chromosome-06
group413-2, chromosome-01
group18749, plasmid-Rh05
group18748, plasmid-Rh05
group1050-2, plasmid-Rh02
group11591, plasmid-Rh01
group11590, plasmid-Rh01
group11593, plasmid-Rh01
group11592, plasmid-Rh01
group11595, fragment
group11594, plasmid-Rh01
group11597, fragment
group11596, fragment
group11599, fragment
group11598, fragment
group17294, chromosome-16
group10247, chromosome-01
group17296, chromosome-01
group17297, chromosome-34
group17290, chromosome-01
group17291, plasmid-Rh07
group10240, chromosome-01
group17293, chromosome-01
group17298, chromosome-34
group17299, chromosome-35
group10248, chromosome-03
group10249, chromosome-03
group2459, chromosome-00
group2458, chromosome-00
group2451, chromosome-00
group2450, chromosome-00
group2453, chromosome-00
group2452, chromosome-00
group2455, chromosome-00
group2454, chromosome-00
group2457, chromosome-00
group2456, chromosome-00
group8800-2, fragment
group20148, fragment
group20149, fragment
group20142, fragment
group20143, fragment
group6226, fragment
group6227, fragment
group6224, fragment
group6225, fragment
group6222, fragment
group6223, plasmid-Rh01
group6220, fragment
group6221, fragment
group6228, fragment
group6229, fragment
group16165, plasmid-Rh01-circula
group16164, plasmid-Rh01-circula
group16167, fragment
group16166, fragment
group16161, fragment
group16160, fragment
group16163, plasmid-Rh01-circula
group16162, plasmid-Rh01-circula
group16169, chromosome-07
group16168, chromosome-05
group9568, fragment
group9569, plasmid-Rh02
group13535, chromosome-00
group9565, fragment
group9566, fragment
group13536, fragment
group13531, plasmid-Rh02
group9561, fragment
group9562, fragment
group13532, plasmid-Rh02
group168, chromosome-01
group169, chromosome-01
group160, chromosome-01
group161, chromosome-01
group162, chromosome-01
group163, chromosome-01
group164, chromosome-01
group165, chromosome-01
group166, chromosome-01
group167, chromosome-01
group7179, plasmid-Rh01
group7178, fragment
group7171, chromosome-05
group7170, fragment
group7173, fragment
group7172, fragment
group7175, plasmid-Rh04
group7174, chromosome-00
group7177, plasmid-Rh01
group7176, fragment
group12662, fragment
group12663, fragment
group12660, plasmid-Rh01
group12661, fragment
group12666, fragment
group12667, fragment
group12664, chromosome-04
group12665, fragment
group12668, fragment
group12669, fragment
group9416-7, fragment
group9416-5, fragment
group9416-4, chromosome-05
group9416-3, fragment
group9416-2, fragment
group6774-2, fragment
group4529, chromosome-00
group20750, chromosome-04
group20759, chromosome-05
group20758, chromosome-05
group14158, fragment
group14159, fragment
group14152, fragment
group14153, fragment
group14150, fragment
group14151, fragment
group14156, fragment
group14157, fragment
group14154, fragment
group14155, fragment
group13156-3, fragment
group10651, fragment
group5921, fragment
group10650, fragment
group10653, fragment
group17604, fragment
group10655, fragment
group17602, fragment
group17601, fragment
group17600, fragment
group4376, chromosome-00
group4377, chromosome-00
group4374, chromosome-00
group4375, chromosome-00
group11035-2, plasmid-Rh02
group4372, chromosome-00
group4373, chromosome-00
group4370, chromosome-00
group4371, chromosome-00
group1091-10, fragment
group1091-11, fragment
group13278, fragment
group13279, plasmid-Rh16-circul
group13272, fragment
group13273, fragment
group13270, chromosome-01
group13271, fragment
group13276, chromosome-06
group13277, chromosome-06
group13274, fragment
group13275, chromosome-01
group8963, chromosome-08
group8962, chromosome-00
group8961, fragment
group8960, chromosome-08
group8967, plasmid-Rh02
group8966, chromosome-27
group8965, fragment
group8964, fragment
group8969, chromosome-02
group8968, fragment
group1461, chromosome-01
group1460, chromosome-01
group1463, chromosome-01
group1348, chromosome-01
group1349, chromosome-01
group1462, chromosome-01
group1340, chromosome-01
group1341, chromosome-01
group1342, chromosome-01
group1343, chromosome-01
group1344, chromosome-01
group1345, chromosome-01
group1346, chromosome-01
group1347, chromosome-01
group1467, chromosome-01
group10384, plasmid-Rh01-circu
group4648, chromosome-00
group4649, chromosome-00
group4646, chromosome-00
group4647, chromosome-00
group4644, chromosome-00
group4645, chromosome-00
group4642, chromosome-00
group4643, chromosome-00
group4640, chromosome-00
group4641, chromosome-00
group5111, plasmid-Rh01
group5110, plasmid-Rh01
group5113, plasmid-Rh01
group5112, plasmid-Rh01
group5115, plasmid-Rh01
group5114, plasmid-Rh01
group8349, chromosome-01
group5116, plasmid-Rh01
group5119, plasmid-Rh01
group8346, chromosome-01
group8345, chromosome-01
group8344, chromosome-01
group8343, chromosome-01
group8342, chromosome-01
group8341, chromosome-01
group8340, chromosome-01
group18239, fragment
group18238, fragment
group18233, fragment
group18232, fragment
group18231, fragment
group18230, fragment
group18237, plasmid-Rh01
group18236, fragment
group18235, fragment
group18234, fragment
group2699, chromosome-00
group2698, chromosome-00
group2693, chromosome-00
group2692, chromosome-00
group2691, chromosome-04
group2690, chromosome-00
group2697, chromosome-00
group2696, chromosome-00
group2695, chromosome-00
group2694, chromosome-00
group3874, fragment
group3875, fragment
group3876, fragment
group3877, fragment
group3870, fragment
group3871, fragment
group3872, fragment
group3873, fragment
group3878, fragment
group3879, fragment
group9768, chromosome-01
group9769, chromosome-01
group9766, chromosome-01
group9767, chromosome-01
group9764, fragment
group9765, fragment
group9762, fragment
group9763, fragment
group9760, fragment
group9761, fragment
group3250, chromosome-00
group3251, chromosome-00
group3252, chromosome-00
group3253, chromosome-00
group3254, chromosome-00
group3255, chromosome-00
group3256, chromosome-00
group3257, chromosome-00
group3258, chromosome-00
group3259, chromosome-00
group6758, fragment
group6759, fragment
group6756, fragment
group6757, fragment
group6754, fragment
group6755, fragment
group6752, fragment
group6753, fragment
group6750, fragment
group6751, fragment
group7401, fragment
group7400, fragment
group7403, fragment
group7402, fragment
group7405, fragment
group7404, fragment
group7407, fragment
group7406, fragment
group7409, fragment
group7408, fragment
group4989, plasmid-Rh01
group4988, plasmid-Rh01
group4985, plasmid-Rh01
group4984, plasmid-Rh01
group4987, plasmid-Rh01
group4986, plasmid-Rh01
group4981, plasmid-Rh01
group4980, plasmid-Rh01
group4983, plasmid-Rh01
group4982, plasmid-Rh01
group5775-4, plasmid-Rh04
group5775-2, plasmid-Rh04
group1807, chromosome-01
group1806, chromosome-01
group1805, chromosome-01
group1804, chromosome-01
group1803, chromosome-01
group1802, chromosome-01
group1801, chromosome-01
group1800, chromosome-01
group1809, chromosome-01
group1808, chromosome-01
group4329, chromosome-00
group4328, chromosome-00
group5428, plasmid-Rh02
group4321, chromosome-00
group4320, chromosome-00
group14392, fragment
group14393, fragment
group4325, chromosome-00
group4324, chromosome-00
group14396, fragment
group4326, chromosome-00
group10899, chromosome-02
group10898, chromosome-02
group10897, chromosome-02
group10896, chromosome-02
group10895, chromosome-02
group10894, chromosome-02
group10893, chromosome-02
group10892, chromosome-02
group10891, chromosome-02
group10890, chromosome-02
group5421, plasmid-Rh02
group5420, plasmid-Rh02
group5423, plasmid-Rh02
group17693, plasmid-Rh02+Rh05
group11418, chromosome-02
group11419, fragment
group11414, chromosome-01
group11415, chromosome-01
group11416, chromosome-03
group11417, chromosome-01
group11410, fragment
group11411, chromosome-00
group11412, chromosome-01
group11413, chromosome-01
group19623, plasmid-Rh05-circ
group19622, chromosome-04
group19621, plasmid-Rh05
group19620, plasmid-Rh01-circ
group19627, chromosome-04
group19626, chromosome-01
group19625, chromosome-01
group19624, chromosome-01
group19629, chromosome-05
group19628, chromosome-04
group18990, chromosome-00
group18991, chromosome-00
group18996, chromosome-00
group18997, chromosome-00
group18994, chromosome-00
group18995, chromosome-00
group2868, chromosome-00
group2869, chromosome-00
group2864, chromosome-00
group2865, chromosome-00
group2866, chromosome-00
group2867, chromosome-00
group2860, chromosome-00
group2861, chromosome-00
group2862, chromosome-04
group2863, chromosome-00
group17153, plasmid-Rh01+Rh03
group17152, plasmid-Rh01+Rh03
group17151, plasmid-Rh01+Rh03
group17150, plasmid-Rh01+Rh03
group17157, fragment
group17156, plasmid-Rh01+Rh03
group17155, plasmid-Rh03
group17154, plasmid-Rh01+Rh03
group17159, fragment
group17158, fragment
group16824, plasmid-Rh01
group16825, plasmid-Rh01
group16826, plasmid-Rh01
group16827, plasmid-Rh01
group16820, plasmid-Rh01
group16821, plasmid-Rh01
group16822, plasmid-Rh01
group16823, plasmid-Rh01
group16828, plasmid-Rh01
group16829, plasmid-Rh01
group20223, fragment
group20222, fragment
group20221, plasmid-Rh04
group20220, plasmid-Rh04
group20227, fragment
group20226, fragment
group20225, fragment
group20224, fragment
group20229, fragment
group20228, fragment
group12257, chromosome-00
group12256, chromosome-01
group12255, chromosome-00
group12254, chromosome-00
group12253, plasmid-Rh02
group12252, fragment
group12251, chromosome-22
group12250, chromosome-00
group12259, fragment
group12258, fragment
group9249, fragment
group9248, fragment
group9241, chromosome-01
group9240, chromosome-01
group9243, chromosome-02
group9242, chromosome-01
group9245, chromosome-03
group9244, chromosome-01
group9247, plasmid-Rh02
group9246, chromosome-04
group6419, chromosome-00
group6418, chromosome-00
group6411, chromosome-00
group6410, chromosome-13
group6413, chromosome-00
group6412, chromosome-00
group6415, chromosome-00
group6414, chromosome-00
group6417, chromosome-00
group6416, chromosome-00
group13702, chromosome-00
group13703, fragment
group13700, chromosome-02
group13701, chromosome-08
group13706, chromosome-01
group13707, plasmid-Rh07
group13704, fragment
group13705, chromosome-08
group13708, fragment
group13709, fragment
group15704, fragment
group15705, chromosome-02
group15706, chromosome-07
group15707, chromosome-07
group15700, chromosome-02
group15701, fragment
group15702, fragment
group15703, fragment
group15708, plasmid-Rh02
group15709, fragment
group16873, chromosome-00
group14110-2, fragment
group7978-2, plasmid-Rh02
group17838, chromosome-13
group17839, plasmid-Rh08
group17834, chromosome-13
group17835, chromosome-13
group17836, chromosome-13
group17837, chromosome-13
group17830, fragment
group17831, chromosome-06
group17832, chromosome-13
group17833, chromosome-13
group12937-2, plasmid-Rh01
group6778-2, plasmid-Rh01
group16257-3, fragment
group5838, plasmid-Rh03
group5839, fragment
group5836, fragment
group5837, fragment
group5834, fragment
group5835, fragment
group5832, fragment
group5833, fragment
group5830, fragment
group5831, fragment
group5769-2, plasmid-Rh04
group19421, plasmid-Rh08
group19420, plasmid-Rh08
group19423, plasmid-Rh08
group19422, plasmid-Rh08
group19425, plasmid-Rh08
group19424, plasmid-Rh08
group19427, chromosome-04
group19426, plasmid-Rh05
group19429, fragment
group19428, fragment
group10707, plasmid-Rh03
group10706, plasmid-Rh03
group10705, plasmid-Rh03
group10704, plasmid-Rh02
group10703, plasmid-Rh02
group10702, fragment
group10701, fragment
group10700, fragment
group10709, plasmid-Rh03
group10708, plasmid-Rh03
group13713-2, fragment
group8489-2, plasmid-Rh01-circ
group3931, fragment
group3930, fragment
group3933, fragment
group3932, fragment
group3935, fragment
group3934, fragment
group3937, fragment
group3936, fragment
group3939, fragment
group3938, fragment
group1681, chromosome-01
group1680, chromosome-01
group1683, chromosome-01
group1682, chromosome-01
group1685, chromosome-01
group1684, chromosome-01
group1687, chromosome-01
group1686, chromosome-01
group1689, chromosome-01
group1688, chromosome-01
group3687, chromosome-00
group3686, chromosome-00
group3685, chromosome-00
group3684, chromosome-00
group3683, chromosome-00
group3682, chromosome-00
group3681, chromosome-00
group3680, chromosome-00
group3689, chromosome-00
group3688, chromosome-00
group719, chromosome-03
group718, chromosome-01
group717, chromosome-01
group716, chromosome-01
group715, chromosome-01
group714, chromosome-01
group713, chromosome-01
group712, chromosome-01
group711, chromosome-01
group710, chromosome-01
group2088, chromosome-01
group2089, chromosome-01
group2082, chromosome-01
group2083, chromosome-01
group2080, chromosome-01
group2081, chromosome-01
group2086, chromosome-01
group2087, chromosome-01
group2084, chromosome-01
group2085, chromosome-01
group20021, chromosome-03
group20020, chromosome-03
group20023, chromosome-03
group20022, chromosome-03
group20025, fragment
group20024, chromosome-03
group20027, chromosome-00
group20026, fragment
group20029, chromosome-10
group20028, chromosome-04
group11890, plasmid-Rh03
group11891, plasmid-Rh03
group11892, plasmid-Rh03
group11893, plasmid-Rh03
group11894, fragment
group11895, fragment
group11896, fragment
group11897, plasmid-Rh02-circula
group11898, plasmid-Rh02
group11899, plasmid-Rh02
group2330, chromosome-01
group2331, chromosome-01
group2332, chromosome-01
group2333, chromosome-01
group2334, chromosome-01
group2335, chromosome-01
group2336, chromosome-01
group2337, chromosome-01
group2338, chromosome-01
group2339, chromosome-01
group9489, chromosome-01
group9488, chromosome-05
group9483, fragment
group9482, chromosome-01
group9481, chromosome-12
group9480, chromosome-00
group9487, plasmid-Rh12
group9486, fragment
group9485, chromosome-00
group9484, fragment
group7308, chromosome-00
group7309, chromosome-02
group7306, fragment
group7307, fragment
group7304, chromosome-13
group7305, chromosome-01
group7302, chromosome-01
group7303, plasmid-Rh06
group7300, fragment
group7301, fragment
group6441, fragment
group21048, plasmid-Rh03
group21049, plasmid-Rh04
group21040, chromosome-00
group21041, chromosome-00
group21042, chromosome-10
group21043, fragment
group21044, chromosome-09
group21045, fragment
group21046, plasmid-Rh01
group21047, plasmid-Rh03
group4826, chromosome-00
group4827, chromosome-00
group4824, chromosome-00
group4825, chromosome-00
group4822, chromosome-00
group4823, chromosome-00
group4820, chromosome-00
group4821, chromosome-00
group4828, chromosome-00
group4829, chromosome-00
group19810, fragment
group19811, fragment
group19812, fragment
group19813, fragment
group19814, fragment
group19815, fragment
group15982, chromosome-00
group15983, chromosome-00
group15980, chromosome-02
group13756, chromosome-00
group15986, chromosome-00
group19816, fragment
group15984, fragment
group15985, plasmid-Rh02-circ
group15988, chromosome-09
group19817, fragment
group19818, fragment
group19819, chromosome-02
group14589, fragment
group14588, fragment
group14581, chromosome-00
group14580, chromosome-00
group14583, chromosome-00
group14582, chromosome-00
group14585, plasmid-Rh01
group14584, chromosome-00
group14587, fragment
group14586, fragment
group3692, chromosome-00
group16983, plasmid-Rh01-circula
group16982, chromosome-06
group16981, fragment
group16980, chromosome-00
group16987, fragment
group16986, fragment
group16985, fragment
group16984, fragment
group16989, fragment
group16988, plasmid-Rh06
group14633, plasmid-Rh06
group14632, plasmid-Rh06
group14631, plasmid-Rh06
group14630, plasmid-Rh06
group14637, fragment
group14636, fragment
group14635, fragment
group14634, fragment
group14639, fragment
group14638, fragment
group17584, fragment
group17585, fragment
group17586, fragment
group17587, fragment
group17580, fragment
group17581, fragment
group17582, fragment
group17583, fragment
group17588, fragment
group17589, fragment
group16675, fragment
group16674, fragment
group16677, fragment
group16676, fragment
group16671, fragment
group16670, fragment
group16673, fragment
group16672, fragment
group16679, fragment
group16678, fragment
group13009, fragment
group13008, fragment
group13005, fragment
group13004, fragment
group13007, fragment
group13006, fragment
group13001, plasmid-Rh03
group13000, plasmid-Rh03
group13003, fragment
group13002, fragment
group3939-2, fragment
group5771-3, plasmid-Rh04
group5771-2, plasmid-Rh04
group9956, fragment
group13707-2, fragment
group12352, chromosome-05
group12353, chromosome-05
group12350, chromosome-05
group12351, chromosome-05
group12356, chromosome-05
group12357, chromosome-05
group12354, chromosome-05
group12355, chromosome-05
group12358, chromosome-05
group12359, chromosome-05
group7806-2, fragment
group13913, fragment
group13912, fragment
group13911, fragment
group13910, fragment
group13917, fragment
group13916, fragment
group13915, fragment
group8038, chromosome-00
group13919, fragment
group13918, fragment
group1780, chromosome-01
group1781, chromosome-01
group5001, plasmid-Rh01
group1783, chromosome-01
group5007, plasmid-Rh01
group1785, chromosome-01
group1786, chromosome-01
group1787, chromosome-01
group8534, plasmid-Rh02
group8535, plasmid-Rh02
group8536, plasmid-Rh02
group8537, plasmid-Rh02
group8530, plasmid-Rh02
group8531, plasmid-Rh02
group8532, plasmid-Rh02
group8533, plasmid-Rh02
group8538, plasmid-Rh02
group8539, plasmid-Rh02
group10516-2, fragment
group19177-2, chromosome-00
group15515, chromosome-02
group15514, plasmid-Rh03-circul
group15517, plasmid-Rh01
group15516, fragment
group15511, chromosome-00
group15510, plasmid-Rh01+Rh02
group15513, chromosome-00
group15512, chromosome-00
group15519, fragment
group15518, plasmid-Rh08
group9385-4, fragment
group8815, chromosome-00
group7235-2, fragment
group7784-2, chromosome-03
group8811, chromosome-00
group7852, chromosome-00
group7853, fragment
group7850, chromosome-00
group7851, chromosome-05
group7856, chromosome-03
group7857, plasmid-Rh07
group7854, plasmid-Rh03
group7855, plasmid-Rh03
group7858, plasmid-Rh07
group7859, chromosome-01
group2783, chromosome-00
group2782, chromosome-00
group939, fragment
group938, fragment
group937, fragment
group936, fragment
group935, fragment
group934, fragment
group933, fragment
group932, fragment
group931, fragment
group930, fragment
group5768-3, fragment
group5768-2, plasmid-Rh04
group14801, chromosome-10
group11667, plasmid-Rh02
group5733-2, fragment
group11665, plasmid-Rh02
group11664, plasmid-Rh02
group11663, plasmid-Rh02
group11662, plasmid-Rh02
group11661, plasmid-Rh02
group5733-4, fragment
group11669, plasmid-Rh02
group11668, plasmid-Rh02
group2989, chromosome-00
group2988, chromosome-00
group2983, chromosome-00
group2982, chromosome-00
group2981, chromosome-00
group2980, chromosome-00
group2987, chromosome-00
group2986, chromosome-00
group2985, chromosome-00
group2984, chromosome-00
group4778, chromosome-00
group4779, chromosome-00
group4772, chromosome-00
group4773, chromosome-00
group4770, chromosome-00
group4771, chromosome-00
group4776, chromosome-00
group4777, chromosome-00
group4774, chromosome-00
group4775, chromosome-00
group1188, chromosome-01
group1189, chromosome-01
group1186, chromosome-01
group1187, chromosome-01
group8675, plasmid-Rh01
group1185, chromosome-01
group8673, plasmid-Rh01
group8672, plasmid-Rh01
group1180, chromosome-01
group8670, plasmid-Rh01
group10134, chromosome-04
group10135, chromosome-04
group10136, chromosome-04
group10137, chromosome-04
group10130, chromosome-04
group10131, chromosome-04
group10132, chromosome-04
group10133, chromosome-04
group10138, chromosome-04
group10139, chromosome-04
group7105-2, fragment
group7583-2, fragment
group9078, fragment
group9079, fragment
group9076, fragment
group9077, fragment
group9074, fragment
group9075, fragment
group9072, fragment
group9073, fragment
group9070, fragment
group9071, fragment
group1728, plasmid-Rh04
group1729, plasmid-Rh04
group1722, plasmid-Rh04
group1723, plasmid-Rh04
group1720, plasmid-Rh04
group1721, plasmid-Rh04
group1726, plasmid-Rh04
group1727, plasmid-Rh04
group1724, plasmid-Rh04
group1725, plasmid-Rh04
group1548, chromosome-01
group3760, chromosome-00
group3761, chromosome-00
group3762, chromosome-00
group3763, chromosome-00
group3764, chromosome-00
group3765, chromosome-00
group3766, chromosome-00
group3767, chromosome-00
group3768, chromosome-00
group3769, chromosome-00
group698, chromosome-01
group699, chromosome-01
group692, chromosome-01
group693, chromosome-01
group690, chromosome-01
group10504-3, fragment
group696, chromosome-01
group697, chromosome-01
group694, chromosome-01
group695, chromosome-01
group16479, plasmid-Rh02
group16478, plasmid-Rh02
group16473, fragment
group16472, fragment
group16471, fragment
group16470, fragment
group16477, plasmid-Rh01
group16476, chromosome-02
group16475, fragment
group16474, fragment
group9698, chromosome-05
group9699, chromosome-00
group9692, chromosome-01
group9693, chromosome-10
group9690, chromosome-01
group9691, chromosome-01
group9696, chromosome-01
group9697, chromosome-03
group9694, chromosome-04
group9695, chromosome-04
group5736-2, fragment
group5736-3, fragment
group5736-4, fragment
group6815-3, fragment
group6848, fragment
group6849, fragment
group6842, fragment
group6843, fragment
group6840, fragment
group6841, fragment
group6846, fragment
group6847, fragment
group6844, fragment
group6845, fragment
group12886, plasmid-Rh02
group12887, plasmid-Rh02
group12884, plasmid-Rh02
group12885, plasmid-Rh02
group12882, plasmid-Rh02
group12883, plasmid-Rh02
group12880, plasmid-Rh02
group12881, plasmid-Rh02
group12888, plasmid-Rh02
group12889, fragment
group10956, chromosome-05
group10957, fragment
group15359, plasmid-Rh01
group15358, fragment
group10952, fragment
group10953, fragment
group10950, fragment
group10951, fragment
group15353, chromosome-00
group15352, plasmid-Rh03
group15351, fragment
group15350, fragment
group15357, fragment
group15356, fragment
group15355, chromosome-04
group10959, fragment
group8197-2, fragment
group15829, fragment
group15828, fragment
group15821, fragment
group15820, fragment
group15823, fragment
group15822, fragment
group15825, fragment
group15824, fragment
group15827, fragment
group15826, fragment
group11308, fragment
group11309, chromosome-01
group11304, chromosome-01
group11305, chromosome-01
group11306, chromosome-01
group11307, fragment
group11300, chromosome-00
group11301, chromosome-00
group11302, fragment
group11303, chromosome-03
group17463, fragment
group17462, fragment
group17461, plasmid-Rh08
group17460, plasmid-Rh08
group17467, fragment
group17466, fragment
group17465, fragment
group17464, fragment
group17469, fragment
group17468, fragment
group10128, chromosome-19
group17007-3, fragment
group9159-2, fragment
group10124, fragment
group8755, fragment
group8757, plasmid-Rh02
group11277-4, fragment
group11277-2, plasmid-Rh02
group11277-3, fragment
group8750, chromosome-02
group8751, chromosome-00
group12143, chromosome-12
group12142, chromosome-05
group12141, fragment
group12140, fragment
group12147, fragment
group12146, fragment
group12145, fragment
group12144, fragment
group12149, plasmid-Rh02-circ
group12148, chromosome-13
group8471, chromosome-00
group8470, chromosome-00
group6506-2, fragment
group6506-3, fragment
group8475, fragment
group8474, chromosome-00
group8477, chromosome-00
group8476, chromosome-00
group8479, chromosome-00
group8478, chromosome-00
group2613, chromosome-01
group2612, chromosome-01
group2611, chromosome-00
group2610, chromosome-00
group2617, chromosome-00
group2616, chromosome-01
group2615, chromosome-01
group2614, chromosome-01
group2619, chromosome-00
group2618, chromosome-00
group3900-3, fragment
group3900-2, fragment
group3562, chromosome-00
group3563, chromosome-00
group3560, chromosome-00
group3561, chromosome-00
group3566, chromosome-00
group3567, chromosome-00
group3564, chromosome-00
group3565, chromosome-00
group3568, chromosome-00
group3569, chromosome-00
group18958, chromosome-01
group18959, chromosome-01
group18956, chromosome-01
group18957, chromosome-01
group18954, chromosome-01
group18955, chromosome-01
group18952, fragment
group18953, fragment
group18950, fragment
group18951, fragment
group6073-2, plasmid-Rh04
group429, chromosome-01
group428, chromosome-01
group423, chromosome-01
group422, chromosome-01
group19331, fragment
group19330, fragment
group19333, chromosome-03
group19332, fragment
group19335, chromosome-03
group19334, chromosome-03
group19337, chromosome-04
group19336, chromosome-04
group19339, chromosome-04
group19338, chromosome-04
group10817, chromosome-03
group10816, chromosome-01
group10815, fragment
group10814, chromosome-12
group10813, fragment
group10812, fragment
group10811, fragment
group10810, fragment
group10819, fragment
group10818, fragment
group14310, chromosome-00
group11143, fragment
group14312, plasmid-Rh02-circula
group11141, chromosome-01
group11146, fragment
group11147, fragment
group11144, plasmid-Rh04
group14317, chromosome-05
group14318, chromosome-05
group14319, chromosome-05
group11148, fragment
group11149, chromosome-01
group17661, plasmid-Rh02-circula
group5411, plasmid-Rh02
group6388-2, fragment
group5413, plasmid-Rh02
group5414, plasmid-Rh02
group5415, plasmid-Rh02
group5416, plasmid-Rh02
group5417, plasmid-Rh02
group5418, plasmid-Rh02
group5419, plasmid-Rh02
group11494, chromosome-00
group11495, chromosome-00
group11496, chromosome-00
group11497, chromosome-00
group11490, chromosome-05
group11491, chromosome-05
group11492, chromosome-01
group11493, chromosome-01
group12824, chromosome-02
group11498, chromosome-00
group11499, chromosome-00
group18849, plasmid-Rh02
group10365, chromosome-00
group10364, chromosome-00
group10367, chromosome-00
group10366, plasmid-Rh05
group10361, chromosome-00
group10360, chromosome-00
group10363, chromosome-00
group10362, chromosome-00
group18170, plasmid-Rh12
group18171, fragment
group18172, chromosome-06
group18173, plasmid-Rh05
group10369, chromosome-00
group10368, chromosome-00
group18176, fragment
group18177, chromosome-05
group18844, plasmid-Rh01
group18845, plasmid-Rh01
group20731, chromosome-02
group20730, chromosome-01
group20733, chromosome-02
group20732, chromosome-02
group20735, chromosome-02
group20734, chromosome-02
group20737, chromosome-02
group20736, chromosome-02
group20739, chromosome-04
group20738, chromosome-04
group16208, chromosome-08
group16209, chromosome-00
group16200, chromosome-00
group16201, chromosome-00
group16202, chromosome-07
group16203, plasmid-Rh02
group16204, chromosome-06
group16205, chromosome-12
